2021-01-10 13:54:13.456 INFO  [main] org.springframework.boot.test.context.SpringBootTestContextBootstrapper Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.lin.missyou.MissyouApplicationTests], using SpringBootContextLoader
2021-01-10 13:54:13.465 INFO  [main] org.springframework.test.context.support.AbstractContextLoader Could not detect default resource locations for test class [com.lin.missyou.MissyouApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-01-10 13:54:13.466 INFO  [main] org.springframework.test.context.support.AnnotationConfigContextLoaderUtils Could not detect default configuration classes for test class [com.lin.missyou.MissyouApplicationTests]: MissyouApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-01-10 13:54:13.640 INFO  [main] org.springframework.boot.test.context.SpringBootTestContextBootstrapper Found @SpringBootConfiguration com.lin.missyou.MissyouApplication for test class com.lin.missyou.MissyouApplicationTests
2021-01-10 13:54:13.789 INFO  [main] org.springframework.boot.test.context.SpringBootTestContextBootstrapper Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-01-10 13:54:13.804 INFO  [main] org.springframework.boot.test.context.SpringBootTestContextBootstrapper Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2d29b4ee, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@69ee81fc, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6e2aa843, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6f36c2f0, org.springframework.test.context.support.DirtiesContextTestExecutionListener@f58853c, org.springframework.test.context.event.EventPublishingTestExecutionListener@1224144a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@29f7cefd, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@700fb871, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3b35a229, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@9816741, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1e16c0aa, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@13d73f29]
2021-01-10 13:54:14.177 INFO  [main] com.lin.missyou.MissyouApplicationTests Starting MissyouApplicationTests on DESKTOP-7LD34V3 with PID 17512 (started by lianj in D:\wisecode\linui-cms01)
2021-01-10 13:54:14.179 INFO  [main] com.lin.missyou.MissyouApplicationTests No active profile set, falling back to default profiles: default
2021-01-10 13:54:16.025 INFO  [main] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
2021-01-10 13:54:16.414 INFO  [main] com.lin.missyou.MissyouApplicationTests Started MissyouApplicationTests in 2.553 seconds (JVM running for 4.16)
2021-01-10 13:54:16.889 INFO  [SpringContextShutdownHook] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Shutting down ExecutorService 'applicationTaskExecutor'
2021-01-10 15:22:56.551 INFO  [main] com.lin.missyou.MissyouApplication Starting MissyouApplication on DESKTOP-7LD34V3 with PID 4588 (D:\wisecode\linui-cms01\target\classes started by lianj in D:\wisecode\linui-cms01)
2021-01-10 15:22:56.555 INFO  [main] com.lin.missyou.MissyouApplication No active profile set, falling back to default profiles: default
2021-01-10 15:22:57.647 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat initialized with port(s): 8090 (http)
2021-01-10 15:22:57.656 INFO  [main] org.apache.coyote.http11.Http11NioProtocol Initializing ProtocolHandler ["http-nio-8090"]
2021-01-10 15:22:57.657 INFO  [main] org.apache.catalina.core.StandardService Starting service [Tomcat]
2021-01-10 15:22:57.657 INFO  [main] org.apache.catalina.core.StandardEngine Starting Servlet engine: [Apache Tomcat/9.0.37]
2021-01-10 15:22:57.659 INFO  [main] org.apache.catalina.core.AprLifecycleListener Loaded Apache Tomcat Native library [1.2.25] using APR version [1.7.0].
2021-01-10 15:22:57.659 INFO  [main] org.apache.catalina.core.AprLifecycleListener APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2021-01-10 15:22:57.659 INFO  [main] org.apache.catalina.core.AprLifecycleListener APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2021-01-10 15:22:57.673 INFO  [main] org.apache.catalina.core.AprLifecycleListener OpenSSL successfully initialized [OpenSSL 1.1.1g  21 Apr 2020]
2021-01-10 15:22:57.749 INFO  [main] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] Initializing Spring embedded WebApplicationContext
2021-01-10 15:22:57.749 INFO  [main] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext Root WebApplicationContext: initialization completed in 1128 ms
2021-01-10 15:22:57.957 INFO  [main] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Initializing ExecutorService 'applicationTaskExecutor'
2021-01-10 15:22:58.091 INFO  [main] org.apache.coyote.http11.Http11NioProtocol Starting ProtocolHandler ["http-nio-8090"]
2021-01-10 15:22:58.113 INFO  [main] org.springframework.boot.web.embedded.tomcat.TomcatWebServer Tomcat started on port(s): 8090 (http) with context path ''
2021-01-10 15:22:58.123 INFO  [main] com.lin.missyou.MissyouApplication Started MissyouApplication in 2.049 seconds (JVM running for 4.946)
2021-01-10 17:06:51.387 INFO  [SpringContextShutdownHook] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor Shutting down ExecutorService 'applicationTaskExecutor'
